"","seq_number","sum.taxonomy"
"344","merged_fishcard_12S_all_miu_419",""
"345","merged_fishcard_12S_all_miu_431",""
"346","merged_fishcard_12S_all_miu_450",""
"347","merged_fishcard_12S_all_miu_523",""
"348","merged_fishcard_12S_all_miu_586",""
"349","merged_fishcard_12S_all_miu_655",""
"350","merged_fishcard_12S_all_miu_658","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"351","merged_fishcard_12S_all_miu_775",""
"352","merged_fishcard_12S_all_miu_777","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"353","merged_fishcard_12S_all_miu_804","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"354","merged_fishcard_12S_all_miu_808",""
"355","merged_fishcard_12S_all_miu_809",""
"356","merged_fishcard_12S_all_miu_812",""
"357","merged_fishcard_12S_all_miu_828","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"358","merged_fishcard_12S_all_miu_884",""
"359","merged_fishcard_12S_all_miu_1052",""
"360","merged_fishcard_12S_all_miu_1063",""
"361","merged_fishcard_12S_all_miu_1093",""
"362","merged_fishcard_12S_all_miu_1102",""
"363","merged_fishcard_12S_all_miu_1171",""
"364","merged_fishcard_12S_all_miu_1176",""
"365","merged_fishcard_12S_all_miu_1200",""
"366","merged_fishcard_12S_all_miu_1371",""
